Timestamp	What is your occupation?	How many GitHub projects have you contributed/involved in the past 2 year? 	How frequent do you use GitHub (the number indicates average visits per month)?	How do you rate the following 3 factors in terms of indicating project impact _as a measure of how attractive the project is to GitHub users_?  [Fork]	How do you rate the following 3 factors in terms of indicating project impact _as a measure of how attractive the project is to GitHub users_?  [Star]	How do you rate the following 3 factors in terms of indicating project impact _as a measure of how attractive the project is to GitHub users_?  [Watch]	What are the other factors in GitHub do you think affect project impact (you can choose more than one answer)?
#29/1/2018  8:32:03 PM	-	>=4	>=30 (almost everyday)	2	3	4	"Documentation, Commit frequency, Release frequency, Development framework/package"
2/3/2018 1:59:49	Concept development	2-3	0-4 (Seldom)	2	3	4	Commit frequency
2/12/2018 23:12:28	CTO	>=4	>=30 (almost everyday)	4	4	4	"Organization, Documentation, Commit frequency, Release frequency, Development framework/package"
1/28/2018 18:14:59	Director/Owner of Company	>=4	>=30 (almost everyday)	1 (Little or no indication)	2	1 (Little or no indication)	Commit frequency
#31/1/2018  9:30:55 PM	fuck your spam	0-1	>=30 (almost everyday)	5 (Strong Indication)	5 (Strong Indication)	5 (Strong Indication)	shitty spammer
2/11/2018 0:25:41	hardware and software engineer contractor	>=4	>=30 (almost everyday)	4	5 (Strong Indication)	5 (Strong Indication)	"Organization, Documentation, Commit frequency, Development framework/package, Code quality and code readability are extremely important"
1/22/2018 14:14:26	IT Developer	2-3	>=30 (almost everyday)	2	3	1 (Little or no indication)	"Documentation, Commit frequency"
1/22/2018 16:47:51	IT Developer	>=4	>=30 (almost everyday)	5 (Strong Indication)	5 (Strong Indication)	5 (Strong Indication)	"Documentation, Commit frequency, Release frequency"
1/22/2018 23:01:08	IT Developer	>=4	>=30 (almost everyday)	5 (Strong Indication)	1 (Little or no indication)	2	"Documentation, Commit frequency, Release frequency"
1/23/2018 22:41:38	IT Developer	>=4	>=30 (almost everyday)	4	4	3	"Organization, Commit frequency"
1/25/2018 0:28:35	IT Developer	>=4	>=30 (almost everyday)	4	4	2	"Documentation, Commit frequency, Release frequency, Development framework/package"
1/25/2018 1:12:18	IT Developer	>=4	>=30 (almost everyday)	3	2	5 (Strong Indication)	"Organization, Documentation, Release frequency"
1/25/2018 1:13:20	IT Developer	>=4	0-4 (Seldom)	5 (Strong Indication)	3	3	"Organization, Commit frequency, philosophy"
1/25/2018 1:57:35	IT Developer	>=4	>=30 (almost everyday)	4	3	3	"Organization, Documentation, Development framework/package"
1/25/2018 2:15:56	IT Developer	>=4	>=30 (almost everyday)	4	3	5 (Strong Indication)	Documentation
1/25/2018 2:21:58	IT Developer	>=4	>=30 (almost everyday)	5 (Strong Indication)	3	3	"Organization, Documentation, Commit frequency, Release frequency"
1/25/2018 2:40:22	IT Developer	>=4	>=30 (almost everyday)	3	5 (Strong Indication)	2	"Documentation, Commit frequency, Release frequency"
1/25/2018 2:50:07	IT Developer	>=4	>=30 (almost everyday)	1 (Little or no indication)	3	1 (Little or no indication)	
1/25/2018 3:24:13	IT Developer	>=4	>=30 (almost everyday)	2	5 (Strong Indication)	2	"Documentation, Commit frequency, Release frequency"
1/25/2018 3:59:25	IT Developer	>=4	>=30 (almost everyday)	5 (Strong Indication)	4	4	"Documentation, Commit frequency, Release frequency"
1/25/2018 14:39:23	IT Developer	2-3	15-29 (Every other day)	3	3	4	"Organization, Documentation, Release frequency"
